"Source Text","Translated Text","Context"
"Actual Value","مقدار واقعی",""
"By Active Customers","بر اساس مشتریان فعال",""
"By Amount Of Active Customers","بر اساس تعداد مشتریان فعال",""
"By Amount Of Successful Invoices","بر اساس تعداد فاکتورهای موفق",""
"Commission","کمیسیون",""
"Commission Calculation","محاسبه کمیسیون",""
"Commission Inclusion","شامل شدن کمیسیون",""
"Commission Notes","یادداشت‌های کمیسیون",""
"Commission calculated successfully for {0}. Please refresh the page to see the updated table.","کمیسیون با موفقیت برای {0} محاسبه شد. لطفاً صفحه را رفرش کنید تا جدول به‌روزرسانی‌شده را ببینید.",""
"Deduction Amount","مبلغ کسر",""
"Deduction Method","روش کسر",""
"Deduction Type","نوع کسر",""
"Deduction Value","مقدار کسر",""
"Deductions","کسورات",""
"Final Commission","کمیسیون نهایی",""
"Fixed Amount","مبلغ ثابت",""
"Gregorian Month","ماه میلادی",""
"Gregorian Year","سال میلادی",""
"Include Deductions","شامل کردن کسورات",""
"Include Item Group Commission","شامل کردن کمیسیون گروه کالایی",""
"Include Sales Amount Commission","شامل کردن کمیسیون مبلغ فروش",""
"Include Successful Invoices Commission","شامل کردن کمیسیون فاکتورهای موفق",""
"Item Group Commission","کمیسیون گروه کالایی",""
"Item Group Targets","هدف‌های گروه کالایی",""
"Item Group Targets Calculations","محاسبات هدف‌های گروه کالایی",""
"Manual","دستی",""
"Min Achievement","حداقل تحقق",""
"Overall Information","اطلاعات کلی",""
"Percentage of Sales","درصد از فروش",""
"Period End","پایان دوره",""
"Period Start","شروع دوره",""
"Period Type","نوع دوره",""
"Sales Amount Commission","کمیسیون مبلغ فروش",""
"Sales Amount Targets","هدف‌های مبلغ فروش",""
"Sales Amount Targets Calculations","محاسبات هدف‌های مبلغ فروش",""
"Sales By Amount","فروش بر اساس مبلغ",""
"Sales By Number Of Units","فروش بر اساس تعداد واحدها",""
"Successful Invoices Commission","کمیسیون فاکتورهای موفق",""
"Successful Invoices Targets","هدف‌های فاکتورهای موفق",""
"Successful Invoices Targets Calculations","محاسبات هدف‌های فاکتورهای موفق",""
"Target Type","نوع هدف",""
"Target Value","مقدار هدف",""
"The minimum level of sales target achievement for sales to be counted in the total commission received.","حداقل سطح تحقق هدف فروش برای محاسبه در مجموع کمیسیون دریافتی",""
"Total Deductions","مجموع کسورات",""
"Use Deductions","استفاده از کسورات",""
"Use Item Group Target","استفاده از هدف گروه کالایی",""
"Use Sales Amount Target","استفاده از هدف مبلغ فروش",""
"Use Successful Invoices Target","استفاده از هدف فاکتورهای موفق",""
"only"," ",""
"فقط"," ",""
